INDX_NR,SPECIES_ID,SPECIES
813594,1F11,Coyote
813729,T1002,Chimney swift
814603,Z8007,Blue-gray gnatcatcher
821963,UNKBM,Unknown bird - medium
814187,UNKBS,Unknown bird - small
819883,UNKBS,Unknown bird - small
814748,1C2101,Eastern red bat
813398,ZL005,Red-eyed vireo
821944,UNKB,Unknown bird
814471,ZT105,Bobolink
813514,UNKBS,Unknown bird - small
821961,UNKBS,Unknown bird - small
819908,UNKB,Unknown bird
814474,S5213,Common nighthawk
814470,O2205,Mourning dove
813994,UNKB,Unknown bird
813335,UNKBS,Unknown bird - small
813995,ZL005,Red-eyed vireo
813996,T1002,Chimney swift
811634,N5111,Killdeer
1063327,N5111,Killdeer
813002,YI001,Purple martin
